,artist_name,track_name,track_id,popularity
913,THE YELLOW MONKEY,Scorching Night - 2022 Remaster,22q2BN6kzKVl9dkcIhS6VE,3
914,KAROL G,Hello,2X3XIIoW4oAIi9XHF2uAhD,0
915,THE YELLOW MONKEY,SO YOUNG - 2022 Remaster,2EpkcmJwlENx08JfL5EwT6,4
916,KAROL G,Mi Cama,2a6ZC2SyzYve6WSQfIJgVa,0
917,Time Shard,Secret Song Of The Sea - 2022 Remaster,5hnJYNh3W3eQdjgXFmv313,0
918,KAROL G,A Ella,1wxjIEUNZoZWfmjf9FD6X9,0
919,Alesso,Years,1T7BiLyFaZKCNNFAMP4PVz,27
920,KAROL G,"Ay, DiOs Mío!",2XNmMr4hjw8tXnPPC6dleG,0
921,Ferreck James,Years,70lw3UVIT1z8KoR3sa3g32,0
922,KAROL G,Pineapple,4KELPCPqhDfcub6vpr4EFd,0
923,Time Shard,King Canary's Peculiar Time Chariot - 2022 Remaster,4c3AfDEA1FJyICj8dKRnlV,0
924,KAROL G,Tusa,08WJTWOk4amgP5vGy9VgL3,1
925,gbaby412,10 Years,6oBVRhJaHmSB4lnGCs7VDF,0
926,KAROL G,La Dama,6t2CAadIEJf8danuSRIRcc,0
927,ZP,Year Round,4pWdxcT1mvxWlFQqudwqUo,0
928,KAROL G,EL MAKINON,1m22k22s8CfH8QDFgxfF1A,0
929,New Year 2022,Yellow Pink,25xaybaFbzI2ejbirrTXib,6
930,KAROL G,Ahora Me Llama - Remix,7aCd1GJGppaqNR0QHojfcQ,0
931,Yarik 555 Max,New Year,0TyZmVhwR9Ndf8XfKisuHe,0
932,KAROL G,Pineapple,040AsXzO8XLurrOgWD9Yqy,0
933,Ferreck James,Years,0ejxF25oF3kEAQoQLZyPTE,0
934,KAROL G,A Ella,3UR6WYemvmiWXyjtRfWMTY,0
935,Ferreck James,Years,1LJcAwGWNC3lp3FORV7CbT,0
936,KAROL G,Hello,056xEhNBDLNagNoufbwG4x,0
937,Ferreck James,Years,5qoU8TttQ1BIwJYnJFrqV7,0
938,KAROL G,EL MAKINON,4pQ5dsZ4o1gPXUpF3NlC40,0
939,THE YELLOW MONKEY,Tower Of Sand - 2022 Remaster,5X2MU8J19B8e0z81SZRa9z,5
940,KAROL G,La Dama,2CcEWCqD68mT3a5rwmzB5q,0
941,THE YELLOW MONKEY,Changes Far Away - 2022 Remaster,7627DHUCwc8sZZrofPT68s,2
942,KAROL G,Culpables,0sJkUeNPrrrVUToPneVCnG,0
943,THE YELLOW MONKEY,Remembering a Mermaid - 2022 Remaster,4GOR2KSMTVphb3H349UGuj,5
944,KAROL G,"Ay, DiOs Mío!",4TcAtcBZgtYR3WqcY83tcf,0
945,THE YELLOW MONKEY,SUCK OF LIFE - 2022 Remaster,3cuBhY3QRO4CuZ2Q3W5eZD,6
946,KAROL G,Mi Cama,7BunO2h04mm6WETpnDiGLs,0
947,THE YELLOW MONKEY,LOVE LOVE SHOW - 2022 Remaster,1XjHmiCtmZUuXni8sDi7Ji,6
948,KAROL G,Bebesita,590Zd7GNX1ulRjv2bPtIrh,0
949,THE YELLOW MONKEY,Shower of Petals - 2022 Remaster,2nixSzmxwZswMUuZ6XpBsK,3
950,KAROL G,Punto G,6y10FvgAhwpcgz91kpM3Za,0
951,THE YELLOW MONKEY,Sad Asian Boy - 2022 Remaster,7II5WX6v04PRTSHYNfc3PU,4
952,KAROL G,La Dama,3f4V3UU6iUThcrGoskeRoQ,0
953,THE YELLOW MONKEY,I don't know - 2022 Remaster,6Kl3vYz8r4o4MA72AM1NNd,4
954,KAROL G,A Ella,22XYunqh9QKPkD92qT7Irv,0
955,New Year 2022,Glitch,1YHzShntppul5mrt5ZWROO,6
956,KAROL G,Ocean,4aTaD94uNagoe9kozG2UOj,0
957,New Year 2022,Ambient House,0Ks90Epgqm9oSMIPnYIhkx,6
958,KAROL G,BICHOTA,0vtdcAlGRaNBOSIozYFz8m,0
959,Adam Melchor,Light Year,3KNQwQpL0arVw85PB30hHm,1
960,KAROL G,Ahora Me Llama,4crM9lI5aWmq0RdgL0IjyJ,0
961,Adam Melchor,Light Year,68dhbMSBqxdIHBAo0sCS22,0
962,KAROL G,Punto G,2oq1miqA5fY3KMrBfUnj4g,0
963,THE YELLOW MONKEY,MY WINDING ROAD - 2022 Remaster,1nsqDaT5U0tzDR4c0nWRln,5
964,KAROL G,BICHOTA,4fDBTJQFbqEi7ELv2yfbXz,0
965,New Year 2022,New York,4WjRdopPXB766Z6uceH7KC,7
966,KAROL G,Follow,1fGVaOZRXBC2IK35ud12y9,0
967,New Year 2022,Terror,5mYVWAO0SShtxVMtDZrRYX,7
968,KAROL G,Hello,25RvpKB2thC0M2dkuCxmUx,0
969,Adam Melchor,Light Year,7itJkxkJcMkRLpfguLjxCA,4
970,KAROL G,Casi Nada,1cfgrcgRs8IXjtAV7gZdg9,0
971,Jaymes Young,Happiest Year,3OYNDrkdYFv06Dek5iNlst,6
972,KAROL G,Casi Nada - Nando Pro Remix,71Huec7RmcVzOWxl0pIbJp,0
973,Adam Melchor,Light Year,26LZiM2Wan9I9UdwKvCUE9,3
974,KAROL G,EL MAKINON,5gksYynaNds4HrgaYgBxCh,0
975,Smek T,100 Years,0ANR93LVJJ4QK6IKU5NtqP,0
976,KAROL G,Bebesita,4smtrzrAIiN4mAZaRebtD8,0
977,Tau Alpha Beta,Happy New Year,3v0rxEhefi2WzM77QUXLTI,0
978,KAROL G,Mi Cama,2jXDqPAfdoLgjflEqi4HlV,0
979,Xxaayy4x,New Yearz Freestyle,3VY5AvzaqdGVUPsus18Bai,0
980,KAROL G,Hello,7olzWhOTjY5p9pJZ4jH8ny,0
981,Aney F.,Turn It On - Violin 2022 Radio Edit,2Mf0iVgJW6ByZndk58iAm6,0
982,KAROL G,A Ella,3bOqQITVHotU401VTpQp1s,0
983,ABBA,Happy New Year,2Jh2JjMUbPgYPf42S0h8cp,5
984,KAROL G,Culpables,3oTMbsGdE7dzOEGeEZRGiz,0
985,ABBA,Happy New Year,4lN4JH5b9xY2yoqapz5BlO,14
986,KAROL G,Bebesita,1cH8eaAqmhq7tJUYYnOv8S,0
987,Phalarix,50.000 Years Ago,3DqbyBj87dxLKZ9c1T4xd8,0
